url,name,brand,price,rating,description
https://reviews.femaledaily.com/products/cleanser/toner/npure/marigold-clearings-petal-toner-reformulation-in-july-2022,Marigold Clearings Petal Toner,NPURE,N/A,4.9,"DESCRIPTION Reformulation in July 2022NPURE Marigold Clearing Petal Toner merupakan daily gentle exfoliating toner dengan kelopak bunga Marigold asli yang mengandung Papain sebagai Natural Enzymatic Exfoliator dan Lactic Acid untuk mengangkat sel kulit mati dan membantu proses regenerasi kulit. Diperkaya dengan 8X Essential Vitamins dan 5X Peptides untuk menutrisi kulit, mencegah penuaan dini, dan melindungi kulit dari radikal bebas. Kulit akan terasa halus, cerah, dan lembut saat disentuh. How to use:Tuangkan beberapa tetes toner ke telapak tangan atau kapas. Tepuk atau usap dengan lembut pada wajah dan leher. Hindari area mata. Toner dapat digunakan setiap harai pada pagi atau malam hari. Suitable for:Semua jenis kulit Ingredients:Aqua, Glycerin, Lactic Acid, Tromethamine, Propylene Glycol, Niacinamide, Butylene Glycol, Fructooligosaccharides, Beta Vulgaris Root Extract, Allantoin, Aloe Barbadensis Leaf Extract, Maltodextrin, Calcium Pantothenate, Urea, Caprylyl Glycol, Magnesium Lactate, Potassium Lactate, Papain, Ethylhexylglycerin, Panthenol, Biotin, Folic acid, Ascorbic Acid, Tocopherol, Retinyl Palmitate, Pyridoxine HCl, Arachis Hypogaea Oil, Calendula Officinalis Flower Extract, Proline, Alanine, Serine, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Disodium EDTA, Calendula Officinalis Flower, Xanthan Gum, Sodium Citrate, Hydroxypropyl Cyclodextrin, Citric Acid, Cyanocobalamin, 7-Dehydrocholesterol, Lecithin, Acetyl Glutamine, sh-oligopeptide-1, sh-oligopeptide-2, sh-polypeptide-1, sh-polypeptide-9, sh-polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Sodium Hyaluronate, 1,2-hexanediol, Fragrance Components and Finished Fragrances."
https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/premium-gokujyun-hyaluronic-acid-lotion,Gokujyun Premium Ultimate Moisturizing Lotion,Hada Labo,Rp. 250.000,4.7,"DESCRIPTION Hada Labo Gokujyun Premium Hyaluronic Acid Lotion adalah produk hydrating toner yang mengandung 5 jenis hyaluronic acid yaitu Sodium Acetyl Hyaluronate, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer dan Hydroxypropyltrimonium Hyaluronate. Digunakan untuk memberi kelembapan yang tahan lama di kulit wajah.How to Use:Tuang 2-3 tetes ke tangan dan tepuk-tepuk ringan ke seluruh wajah yang telah dibersihkan dan setelah menggunakan exfoliating toner. Suitable For:Dry or Very Dry skinIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/dear-klairs/supple-preparation-facial-toner,Supple Preparation Facial Toner,"Dear, Klairs",Rp. 300.000,4.4,"DESCRIPTION Klairs Supple Preparation Facial Toner adalah toner yang tidak menyebabkan iritasi, sekaligus dapat meremajakan dan menghidrasi kulit. Formulanya cepat menyerap dengan level pH yang seimbang.How to use :Tuangkan pada tangan, usapkan pada wajah. Atau aplikasikan dengan menggunakan kapas.Suitable for :Semua jenis kulitIngredients :Water, Butylene Glycol, Dimethyl Sulfone, Betaine, Caprylic/Capric Triglyceride, Natto Gum, Sodium Hyaluronate, Disodium EDTA, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polyquaternium-51, Chlorphenesin, Tocopheryl Acetate, Carbomer, Panthenol, Arginine, Luffa Cylindrica Fruit/Leaf/Stem Extract, Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Hydroxyethylcellulose, Portulaca Oleracea Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Lavandula Angustifolia (Lavender) Oil, Eucalyptus Globulus Leaf Oil, Pelargonium Graveolens Flower Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cananga Odorata Flower Oil, Copper Tripeptide-1"
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/astringent,Astringent,Viva Cosmetics,Rp. 5.300,3.8,"DESCRIPTION Viva Cosmetics Astringent Cucumber adalah penyegar untuk kulit berminyak dan bernoda hitam yang berfungsi membersihkan sisa susu pembersih, menyegarkan kulit, serta menjaga pH kulit. Mengandung Ekstrak Cucumber untuk mengurangi kadar minyak berlebih pada wajah dan Pore Tightening Agent untuk mengecilkan tampilan pori-pori di wajah.How To Use:Tuangkan Viva Astringent Cucumber pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser Cucumber atau Viva Queen Peelling Cream dan Viva Face Masker.Suitable For:Kulit berminyakIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/pratista/hyalu-hydrating-toner,Hyalu Hydrating Toner,Pratista,Rp. 100.000,4.2,"DESCRIPTION Pratista Hyalu Hydrating Toner merupakan penyegar wajah yang dapat membersihkan kulit wajah dari kotoran, make up dan sisa cleanser. Mengandung Hyaluronic Acid,Aloe Barbandis Leaf Extract, dan Centella Asiatica yang membantu membuat kulit wajah menjadi lebih lembut dan lembab.How to use:Tuang toner pada kapas lalu tepuk-tepuk halus pada wajah yang sudah bersihSuitable for:Semua jenis kulitIngredients:Aqua, Propylene Glycol, Sodium Hyaluronate, Phenoxyethanol, PED-40 Hydrogenated Castor Oil, Aloe Barbadensis Leaf Extract, Panthenol, Centella Asiatica Leaf Extract, Glyceryn, Butylene Glycol, Portulaca Oleracea Extract, Sodium Ascorbyl Phospate, Ammonium Acryloyldimethyltaurate/VP Copol, Glycyrrhiza Glabra Root Extract, Disodium EDTA, {arfum, Cocoamidopropyl Betaine, Sodium Benzoate, Tocopheryl Acetate."
https://reviews.femaledaily.com/products/cleanser/toner/wardah/lightening-face-toner-58,Lightening Face Toner,Wardah,Rp. 24.000,3.4,"DESCRIPTION Wardah Lightening Face Toner merupakan toner yang dapat membuat kulit tampak lebih lembut, halus, dan bercahaya. Mengandung pH Balance Formula yang dapat mengembalikan keseimbangan pH alami kulit dan mempersiapkan kulit untuk penyerapan produk selanjutnya. Dikombinasikan dengan Advanced Niacinamide yang bantu kulit tampak lebih cerah bercahaya dengan pemakaian teratur. Tersedia dalam ukuran:125 ml : Rp 24.000How to use:Tuang pada kapas, usapkan pada seluruh wajah dengan cara ditepuk-tepuk secara perlahanSuitable for:Semua jenis kulitIngredients:Aqua, Triethanolamine, Glycolic Acid, Phenoxyethanol, Niacinamide, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Ethylhexylglycerin, Propylene Glycol, Tocopheryl Acetate, Ulva Lactuca Extract, Polysorbate 20, Glycerin, Fragrance, Glycyrrhiza Glabra Root Extract, Potassium Sorbate, Sodium Benzoate."
https://reviews.femaledaily.com/products/cleanser/toner/somethinc/glow-maker-aha-bha-pha-clarifying-treatment-toner,Glow Maker AHA BHA PHA Clarifying Treatment Toner,Somethinc,Rp. 119.000,4.0,"DESCRIPTION Somethinc Glow Maker AHA BHA PHA Clarifying Treatment Toner merupakan Daily Exfoliating Treatment Toner dengan konsentrasi acid yang rendah yaitu 3% AHA (Asam Glikolat), 0.01% BHA (Asam Salisilat), dan 0.1% PHA (Asam Laktobionat). Bermanfaat untuk menghilangkan sel kulit mati, pori-pori tidak tersumbat, melembutkan tekstur kulit, meratakan warna kulit, melawan jerawat, komedo dan komedo putih.Tersedia dalam ukuran:100 ml : Rp 119.00040 ml : Rp 59.000How to use:Setelah wajah dibersihkan, tuangkan GLOW MAKER Clarifying Treatment Toner ke kapas. Oleskan ringan ke kulit (hindari area mata). Bisa digunakan untuk area Leher dan Badan yang berjerawatSuitable for:Kulit berjerawat, Kulit berminyak, Kulit sensitifIngredients:Water, Butylene Glycol, Glycolic Acid, Arginine, 1,2-hexanediol, Betaine, Allantoin, Lactobionic Acid, Anthemis Nobilis Flower Extract, Salicylic Acid, Caffeine"
https://reviews.femaledaily.com/products/cleanser/toner/clean-clear/oil-control-toner,Oil Control Toner,Clean & Clear,Rp. 0,3.4,"DESCRIPTION Clean & Clear Oil Control Toner adalah penyegar dengan kandungan Salicylic Acid yang bekerja hingga ke dalam pori-pori untuk membantu mengangkat minyak berlebih di wajah serta mencegah timbulnya jerawat dan komedo. Formulanya bebas minyak dan membantu membersihkan minyak dan kotoran yang tersisa di wajah.How To Use:Tuang toner secukupnya pada kapas, lalu tepuk-tepuk kapas ke seluruh wajah yang telah dibersihkanSuitable For:Kulit berminyakIngredients:Active Ingredients:Salicylic Acid (0.5%)Inactive Ingredients:Water Alcohol Glycerin Isoceteth-20 PEG-32 Sodium Citrate Fragrance Propylene Glycol Dimethicone Propyl PG-Betaine Benzophenone-4 Algae Extract Aloe Barbadensis Leaf Extract Denatonium Benzoate Blue 1"
https://reviews.femaledaily.com/products/cleanser/toner/avoskin/miraculous-retinol-toner,Miraculous Retinol Toner,AVOSKIN,Rp. 196.900,4.6,"DESCRIPTION AVOSKIN Miraculous Retinol Toner mengandung 3% Niacinamide, 1% Actosome Retinol, Peptide dan Pomegranate, yang efektif untuk memperbaiki tekstur kulit, mencerahkan, menjaga kelembaban, dan menjaga elastisitas kulit.How to use:Aplikasikan setelah mencuci wajah dan menggunakan sunscreen pada keesokan harinya. Jika timbul tanda-tanda iritasi, kurangi frekuensi penggunaan. Digunakan setiap hari pada malam hari.Suitable for:Kulit sensitifIngredients:Actosome Retinol, Peptide, Vitamin E, Niacinamide, Camellia Sinensin (Green tea leaf), Raspberry, Pomegranate."
https://reviews.femaledaily.com/products/cleanser/toner/son-park/beauty-water-12,Beauty Water,Son & Park,Rp. 350.000,4.0,DESCRIPTION Toner. Exfoliating and moisturizing.
